item,value,period.start,period.end,instant,unit,decimals
RepaymentsOfLongTermFinancingObligations,669000000,1/1/2024,12/31/2024,,usd,-6
NetCashProvidedByUsedInFinancingActivities,9718000000,1/1/2022,12/31/2022,,usd,-6
NetCashProvidedByUsedInFinancingActivities,-15879000000,1/1/2023,12/31/2023,,usd,-6
NetCashProvidedByUsedInFinancingActivities,-11812000000,1/1/2024,12/31/2024,,usd,-6
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,-1093000000,1/1/2022,12/31/2022,,usd,-6
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,403000000,1/1/2023,12/31/2023,,usd,-6
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,-1301000000,1/1/2024,12/31/2024,,usd,-6
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,17776000000,1/1/2022,12/31/2022,,usd,-6
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,19637000000,1/1/2023,12/31/2023,,usd,-6
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,8422000000,1/1/2024,12/31/2024,,usd,-6
